id,title,shipping_weight
srfe2a,Strike First SRFE2A | 2lb ABC | UL/ULC Approved I Residential,3.40 lb
ubrk-1052,2.5lb Universal Quick Release Vehicle Bracket,0.5 lb
12v7ah-1735,Fire Alarm Control Panel Battery – 12V7AH,5 lb
bkb-420,Keyed Lock for Fire Alarm Panels,0.1 lb
d4120-1058,System Sensor D4120 4-Wire Photoelectric Duct Smoke Detector,3.5 lb
sf310,Strike First SF310 I Versatile 5lb ABC I UL/ULC & USCG Approved,9 lb
bfb-430,Fire Blanket and Bag,4 lb
b417tx,2.5lb Fire Extinguisher - Amerex B417TX ABC Multi Purpose w/ Vehicle Bracket,5.5 lb
b385tsx,Amerex B385TSX - 2.5lb Halotron1 - Class B C Fire Extinguisher,5.5 lb
a384t,"Amerex A384T, 1.4lb Halotron I Class B C Fire Extinguisher",3.5 lb
plug-b-250cl-pl,"2.5"" Threaded Brass Plug",1 lb
bl-10b-24vdc-1382,"Mircom BL-10B - 24VDC 10"" Fire Alarm Bell",1 lb
