store_code,id,quantity,availability,pickup_method,pickup_sla,product_name
1010,mh-s25wa-388,0,in stock,buy,next_day,Mircom MH-S25WA - Sileanceable Mini Horn (White)
1010,sl-e6-36,0,in stock,buy,next_day,Combination Exit LED Sign / Emergency Lighting
1010,468193-426,3,in stock,buy,same_day,Kidde 2 Storey Escape Ladder
1010,bl-6b-24v-6-467,0,in stock,buy,next_day,"Mircom BL-6B - 24V 6"" Fire Alarm Bell"
1010,b570,0,in stock,buy,next_day,30 lb Model B570 Class D Fire Extinguisher
1010,21031518,10,in stock,buy,same_day,Kidde DETECT – Battery Operated Photoelectric Smoke & CO w/10 Year Sealed Battery - NO VOICE ALERT (30CUD10-CA)
1010,sl-rm-12-36,0,in stock,buy,next_day,Running Man Combo Exit Emergency Light Unit 12V 36W
1010,21032239,50,in stock,buy,same_day,Kidde Quick Connect Alarm Adapter
1010,c2w-ba-460,10,in stock,buy,same_day,Mircom C2W-BA Smoke Detector 12/24 VDC
1010,dd4120-st15-17897,6,in stock,buy,same_day,System Sensor - D4120 4-Wire Photoelectric Duct Smoke Detector and 1.5' Sampling Tube
1010,b386tx,2,in stock,buy,same_day,5 lb Fire Extinguisher - Amerex B386TX Halotron Class BC
1010,ne20,20,in stock,buy,same_day,Pull Station Label - no Elevator
1010,hdvb-3-17275,1,in stock,buy,same_day,Strike First 20lb Dry Chemical & 10lb-15lb CO2 Heavy Duty Vehicle Bracket - HDVB-3
1010,k-270-a-dpo-483,2,in stock,buy,same_day,Edwards Pullstation - 120VAC
1010,sti1100,10,in stock,buy,same_day,Audible Pull Station Cover - STI1100
1010,b402txc,0,in stock,buy,next_day,5lb Fire Extinguisher - Amerex B402TXC ABC Multi-Purpose - Chrome
1010,spg,10,in stock,buy,same_day,Sprinkler Guard
1010,nv-6-36,0,in stock,buy,next_day,Emergency Lighting Unit 36 Watt Output
1010,fb64pc-1072,2,in stock,buy,same_day,Fiber Glass Fire Blanket (1m x 1m)
1010,470,0,in stock,buy,next_day,Mircom MH-25W - Mini Horn (White)
1010,fh-400-rr-1397,0,in stock,buy,next_day,Mircom FH-400-RR - Wall/Ceiling Mount Horn (Red)
1010,el-7030a5,0,in stock,buy,next_day,Single LED Emergency Light Remote Head - 6-24V5W
1010,b417txc,0,in stock,buy,next_day,2.5lb Chrome Fire Extinguisher - Amerex B417TXC ABC Multi-Purpose
1010,rlss-b6120,5,in stock,buy,same_day,Emergency Light Battery 6V12AH
1010,21031559,10,in stock,buy,same_day,Kidde DETECT - 120V Photoelectric Smoke Alarm w/ 10 Year Backup Battery (20SA10-CA)
1010,21032774,10,in stock,buy,same_day,Kidde DETECT - 120V Photoelectric Smoke + Carbon Monoxide Alarm w/ 10 Year Backup Battery & Voice Alert (30CUA10-VCA)
1010,5-809-288,2,in stock,buy,same_day,"Amerex Heavy Duty Vehicle Bracket - 5"" Cylinder (809)"
1010,nlrp109,2,in stock,buy,same_day,"Aluminum Fire Extinguisher Sign - (4"" x 18"")"
1010,sf-abc110st-2,10,in stock,buy,same_day,Strike First SF-ABC110ST | 2.5lb ABC Multi-Purpose Fire Extinguisher w/Vehicle Bracket (2-Pack)
1010,el-7012,0,in stock,buy,next_day,Emergency Light Pack 36 Watt Output
1010,brx-551,0,in stock,buy,next_day,Amerex 551- 12.5lbs Halotron BrX Clean Agent HT Series
1010,b500x,25,in stock,buy,same_day,5 lb Fire Extinguisher - Amerex B500 ABC Multi-Purpose w/ Wall Bracket
1010,dst1_5,20,in stock,buy,same_day,System Sensor DST 1.5-1.5' Duct Detector Sampling Tube
1010,rd1-437,3,in stock,buy,same_day,First Alert Radon Test Kit
1010,tfs15ind-50-19253,5,in stock,buy,same_day,"Single Jacket Reel Hose (1 1/2"" x 50')"
1010,2s30,20,in stock,buy,same_day,"2 Stage Alarm Pull Station Label - ""do Not Use Elevator"""
1010,nl109,5,in stock,buy,same_day,"Vinyl Fire Extinguisher Sign - Peel & Stick (4"" x 12"")"
1010,994,1,in stock,buy,same_day,"Fully Assembled 75' x 1-1/2"" Fire Hose & Rack"
1010,fh-400-ww-465,0,in stock,buy,next_day,Mircom FH-400-WW - Wall/Ceiling Mount Horn (White)
1010,12933-1740,1,in stock,buy,same_day,"Amerex Heavy Duty Vehicle Bracket – 7"" Cylinder (810)"
1010,wfd60n,0,in stock,buy,same_day,"Safe Signal WFD60N 6"" Waterflow Detector"
1010,12v5ah-1733,10,in stock,buy,same_day,Fire Alarm Control Panel Battery - 12V5AH
1010,433,2,in stock,buy,same_day,Pull Station Cover w/ Breaker Bar
